Period,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Moscow Oblast,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Moscow,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Leningrad Oblast,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Saint Petersburg,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Kursk Oblast
18628,0.83,0.95,0.83,0.87,0.85,0.8,0.8,0.81,0.84,0.79,0.84,0.79,0.85,0.81,0.91,0.81,0.7,0.83,0.83,0.79,0.83,0.79,0.78,0.77,0.9,0.83,0.83,0.79,0.91,0.87,0.86,0.81,0.92,0.89,0.83,0.78,0.81,0.9,0.81,0.95,0.8,0.83,0.92,0.86,0.85,0.88,0.79,0.85,0.93,0.71,0.98,0.86,0.64,0.79,0.93,0.76,0.9,0.83,0.85,0.76,0.84,0.83,0.93,0.76,0.82,0.84,0.8,0.71,0.66,0.66,0.89,0.75,0.81,0.85,0.9,0.78,0.72,0.85,0.87,0.91,0.85
18659,0.82,0.93,0.8,0.85,0.84,0.78,0.79,0.83,0.79,0.78,0.84,0.76,0.85,0.81,0.87,0.76,0.69,0.83,0.8,0.77,0.85,0.79,0.75,0.74,0.87,0.8,0.83,0.75,0.89,0.89,0.85,0.78,0.89,0.91,0.82,0.75,0.79,0.89,0.81,0.89,0.78,0.83,0.9,0.84,0.83,0.82,0.75,0.81,0.89,0.68,1.01,0.8,0.63,0.77,0.9,0.73,0.82,0.8,0.79,0.78,0.85,0.82,0.9,0.72,0.78,0.83,0.82,0.72,0.73,0.69,0.89,0.72,0.8,0.87,0.91,0.77,0.68,0.83,0.85,0.89,0.83
18687,0.82,0.99,0.81,0.86,0.85,0.78,0.8,0.82,0.8,0.79,0.89,0.77,0.91,0.87,0.91,0.81,0.74,0.86,0.8,0.77,0.85,0.78,0.75,0.75,0.87,0.83,0.82,0.79,0.92,0.89,0.84,0.81,0.89,0.88,0.84,0.77,0.81,0.89,0.8,0.9,0.78,0.83,0.95,0.84,0.83,0.84,0.76,0.83,0.91,0.71,1.04,0.84,0.62,0.79,0.9,0.76,0.83,0.79,0.81,0.78,0.82,0.85,0.89,0.74,0.81,0.84,0.83,0.74,0.77,0.69,0.91,0.76,0.82,0.89,0.9,0.79,0.7,0.86,0.86,0.94,0.86
18718,0.81,0.92,0.78,0.82,0.82,0.77,0.78,0.78,0.77,0.77,0.83,0.78,0.87,0.82,0.85,0.8,0.74,0.85,0.83,0.73,0.85,0.89,0.76,0.73,0.87,0.83,0.83,0.75,1,0.93,0.83,0.78,0.89,0.9,0.85,0.75,0.8,0.91,0.82,0.88,0.75,0.82,0.96,0.81,0.81,0.8,0.74,0.81,0.9,0.68,1.02,0.78,0.67,0.78,0.76,0.73,0.81,0.78,0.78,0.79,0.87,0.82,0.89,0.61,0.75,0.8,0.83,0.7,0.51,0.73,0.89,0.73,0.79,0.86,0.88,0.76,0.68,0.82,0.83,0.89,0.85
18748,0.7,0.75,0.69,0.74,0.72,0.71,0.69,0.68,0.68,0.68,0.73,0.67,0.75,0.75,0.8,0.69,0.64,0.74,0.71,0.63,0.71,0.73,0.65,0.67,0.76,0.7,0.71,0.66,0.78,0.71,0.73,0.69,0.73,0.74,0.67,0.67,0.67,0.77,0.69,0.68,0.67,0.7,0.71,0.68,0.71,0.68,0.62,0.7,0.76,0.59,0.83,0.66,0.58,0.67,0.7,0.61,0.75,0.72,0.7,0.65,0.71,0.73,0.73,0.51,0.69,0.72,0.69,0.5,0.53,0.63,0.75,0.61,0.69,0.75,0.77,0.69,0.65,0.7,0.72,0.82,0.72
18779,0.62,0.68,0.63,0.65,0.65,0.64,0.62,0.6,0.61,0.6,0.63,0.58,0.64,0.67,0.72,0.6,0.54,0.64,0.59,0.55,0.62,0.57,0.57,0.57,0.66,0.6,0.59,0.58,0.64,0.64,0.64,0.58,0.61,0.62,0.58,0.59,0.6,0.67,0.59,0.57,0.61,0.63,0.52,0.58,0.61,0.58,0.52,0.6,0.63,0.49,0.58,0.56,0.54,0.61,0.63,0.53,0.64,0.62,0.59,0.48,0.54,0.62,0.6,0.34,0.61,0.67,0.58,0.39,0.4,0.51,0.65,0.5,0.59,0.65,0.64,0.59,0.6,0.62,0.61,0.76,0.64
18809,0.63,0.69,0.64,0.62,0.65,0.62,0.62,0.62,0.61,0.6,0.61,0.57,0.62,0.67,0.69,0.58,0.52,0.63,0.57,0.53,0.6,0.58,0.55,0.56,0.64,0.61,0.58,0.54,0.65,0.64,0.63,0.59,0.61,0.63,0.57,0.58,0.59,0.67,0.58,0.58,0.6,0.64,0.54,0.58,0.61,0.6,0.53,0.59,0.64,0.48,0.59,0.54,0.54,0.6,0.64,0.55,0.62,0.64,0.58,0.49,0.53,0.61,0.6,0.43,0.6,0.66,0.57,0.42,0.43,0.49,0.63,0.5,0.58,0.64,0.62,0.58,0.57,0.62,0.6,0.75,0.65
18840,0.73,0.84,0.74,0.75,0.74,0.71,0.71,0.7,0.7,0.68,0.76,0.69,0.79,0.79,0.78,0.72,0.66,0.74,0.72,0.66,0.76,0.77,0.67,0.67,0.77,0.72,0.75,0.65,0.83,0.79,0.74,0.69,0.78,0.79,0.74,0.67,0.68,0.78,0.71,0.76,0.69,0.78,0.81,0.74,0.74,0.74,0.65,0.71,0.79,0.6,0.88,0.73,0.56,0.69,0.79,0.67,0.81,0.72,0.7,0.7,0.71,0.74,0.8,0.75,0.7,0.76,0.76,0.73,0.69,0.63,0.83,0.71,0.68,0.79,0.79,0.67,0.62,0.73,0.73,0.84,0.75
18871,0.76,0.87,0.76,0.77,0.77,0.72,0.75,0.74,0.69,0.72,0.83,0.69,0.85,0.81,0.82,0.73,0.69,0.8,0.78,0.72,0.75,0.78,0.69,0.67,0.8,0.76,0.81,0.71,0.86,0.79,0.8,0.72,0.82,0.81,0.78,0.68,0.71,0.83,0.73,0.88,0.72,0.79,0.92,0.79,0.78,0.79,0.69,0.76,0.85,0.64,1.02,0.76,0.58,0.72,0.83,0.69,0.77,0.76,0.74,0.78,0.8,0.78,0.86,0.8,0.74,0.78,0.76,0.83,0.74,0.6,0.8,0.71,0.71,0.83,0.81,0.71,0.66,0.78,0.77,0.86,0.74
18901,0.75,0.83,0.75,0.76,0.77,0.73,0.75,0.75,0.74,0.72,0.8,0.67,0.86,0.81,0.83,0.76,0.7,0.79,0.75,0.73,0.78,0.75,0.68,0.7,0.81,0.78,0.81,0.73,0.86,0.8,0.8,0.75,0.83,0.82,0.77,0.7,0.75,0.84,0.77,0.85,0.73,0.76,0.84,0.77,0.76,0.78,0.69,0.76,0.82,0.62,1,0.78,0.58,0.74,0.84,0.7,0.79,0.75,0.76,0.74,0.8,0.8,0.83,0.69,0.76,0.77,0.72,0.68,0.66,0.62,0.8,0.73,0.72,0.85,0.83,0.72,0.66,0.77,0.76,0.84,0.77
18932,0.77,0.89,0.77,0.78,0.79,0.74,0.75,0.77,0.75,0.76,0.84,0.73,0.86,0.83,0.82,0.75,0.72,0.82,0.79,0.74,0.82,0.82,0.74,0.72,0.84,0.8,0.83,0.75,0.94,0.89,0.83,0.76,0.89,0.9,0.83,0.7,0.75,0.84,0.77,0.85,0.72,0.81,0.97,0.78,0.78,0.82,0.7,0.76,0.86,0.67,1.16,0.79,0.6,0.78,0.85,0.72,0.8,0.76,0.76,0.78,0.82,0.8,0.88,0.81,0.74,0.81,0.84,0.87,0.86,0.74,0.87,0.85,0.75,0.85,0.83,0.72,0.66,0.8,0.77,0.87,0.79
18962,0.78,0.85,0.77,0.8,0.79,0.75,0.78,0.79,0.74,0.73,0.81,0.68,0.82,0.81,0.86,0.78,0.71,0.8,0.73,0.71,0.76,0.76,0.7,0.72,0.86,0.82,0.8,0.73,0.87,0.8,0.82,0.76,0.82,0.81,0.76,0.72,0.76,0.85,0.78,0.82,0.75,0.79,0.85,0.77,0.75,0.78,0.68,0.75,0.81,0.65,0.8,0.74,0.6,0.78,0.82,0.72,0.81,0.76,0.77,0.71,0.7,0.78,0.84,0.58,0.76,0.81,0.73,0.61,0.58,0.6,0.79,0.66,0.75,0.8,0.86,0.74,0.65,0.77,0.78,0.82,0.77
18993,0.74,0.84,0.74,0.78,0.76,0.7,0.74,0.74,0.71,0.71,0.79,0.68,0.8,0.75,0.8,0.73,0.69,0.78,0.78,0.71,0.78,0.78,0.69,0.7,0.79,0.75,0.79,0.73,0.85,0.75,0.77,0.73,0.84,0.81,0.75,0.69,0.72,0.81,0.72,0.81,0.72,0.76,0.85,0.77,0.75,0.78,0.67,0.76,0.8,0.63,0.96,0.78,0.59,0.74,0.81,0.68,0.8,0.77,0.76,0.72,0.78,0.78,0.87,0.68,0.71,0.73,0.76,0.71,0.66,0.62,0.77,0.65,0.73,0.81,0.83,0.72,0.63,0.77,0.76,0.81,0.75
19024,0.75,0.84,0.74,0.79,0.79,0.73,0.75,0.76,0.73,0.72,0.8,0.71,0.82,0.76,0.81,0.73,0.69,0.79,0.75,0.71,0.77,0.79,0.7,0.7,0.83,0.76,0.8,0.74,0.86,0.79,0.79,0.74,0.84,0.82,0.79,0.7,0.74,0.82,0.76,0.82,0.76,0.77,0.91,0.79,0.76,0.77,0.69,0.76,0.84,0.63,1.08,0.77,0.61,0.75,0.81,0.68,0.8,0.76,0.77,0.76,0.79,0.79,0.87,0.64,0.74,0.78,0.77,0.68,0.72,0.68,0.8,0.72,0.72,0.8,0.83,0.72,0.65,0.77,0.76,0.82,0.75
19052,0.74,0.89,0.74,0.8,0.79,0.72,0.75,0.76,0.71,0.72,0.83,0.71,0.82,0.79,0.83,0.77,0.7,0.81,0.77,0.72,0.81,0.79,0.71,0.71,0.81,0.75,0.79,0.76,0.9,0.75,0.77,0.75,0.83,0.79,0.75,0.69,0.75,0.83,0.73,0.8,0.72,0.75,0.94,0.79,0.75,0.77,0.71,0.79,0.85,0.65,1.03,0.8,0.59,0.75,0.83,0.71,0.79,0.73,0.76,0.72,0.74,0.81,0.86,0.69,0.74,0.77,0.82,0.72,0.67,0.7,0.82,0.74,0.73,0.81,0.82,0.72,0.63,0.79,0.78,0.86,0.75
19083,0.76,0.87,0.73,0.76,0.76,0.71,0.74,0.74,0.72,0.73,0.75,0.73,0.8,0.77,0.82,0.78,0.7,0.8,0.8,0.68,0.8,0.87,0.73,0.69,0.84,0.78,0.81,0.69,0.93,0.86,0.78,0.74,0.84,0.86,0.8,0.69,0.75,0.85,0.81,0.82,0.7,0.81,0.93,0.78,0.75,0.76,0.73,0.79,0.84,0.64,1.05,0.75,0.56,0.77,0.75,0.68,0.8,0.72,0.75,0.77,0.8,0.77,0.88,0.64,0.72,0.75,0.83,0.75,0.66,0.67,0.81,0.75,0.73,0.81,0.85,0.7,0.61,0.78,0.76,0.81,0.8
19113,0.65,0.68,0.63,0.66,0.65,0.64,0.63,0.63,0.61,0.62,0.65,0.63,0.7,0.69,0.76,0.63,0.6,0.68,0.66,0.59,0.64,0.69,0.61,0.62,0.69,0.65,0.65,0.59,0.69,0.63,0.66,0.63,0.66,0.66,0.61,0.61,0.63,0.69,0.63,0.62,0.63,0.65,0.64,0.64,0.65,0.63,0.56,0.65,0.68,0.55,0.78,0.62,0.54,0.63,0.67,0.58,0.7,0.63,0.66,0.59,0.63,0.68,0.69,0.44,0.63,0.67,0.65,0.46,0.56,0.57,0.65,0.55,0.63,0.66,0.68,0.63,0.58,0.64,0.63,0.7,0.66
19144,0.58,0.62,0.57,0.61,0.58,0.58,0.57,0.57,0.55,0.55,0.58,0.56,0.62,0.65,0.68,0.56,0.52,0.61,0.55,0.52,0.57,0.56,0.54,0.55,0.62,0.6,0.56,0.52,0.61,0.56,0.61,0.56,0.59,0.57,0.54,0.55,0.56,0.62,0.56,0.53,0.58,0.59,0.49,0.55,0.57,0.56,0.49,0.57,0.59,0.46,0.59,0.53,0.48,0.57,0.58,0.49,0.61,0.58,0.58,0.47,0.51,0.59,0.58,0.32,0.58,0.6,0.52,0.38,0.42,0.48,0.58,0.46,0.56,0.6,0.59,0.56,0.55,0.58,0.57,0.69,0.59
19174,0.58,0.61,0.57,0.6,0.57,0.58,0.57,0.57,0.54,0.55,0.59,0.55,0.62,0.65,0.67,0.56,0.52,0.62,0.56,0.52,0.58,0.59,0.54,0.54,0.61,0.58,0.58,0.52,0.63,0.56,0.62,0.57,0.61,0.59,0.54,0.55,0.57,0.63,0.57,0.54,0.57,0.58,0.65,0.56,0.57,0.56,0.49,0.56,0.61,0.46,0.63,0.51,0.47,0.56,0.56,0.5,0.59,0.59,0.56,0.48,0.52,0.62,0.59,0.39,0.57,0.61,0.53,0.41,0.45,0.48,0.58,0.47,0.56,0.59,0.61,0.55,0.53,0.58,0.56,0.7,0.58
19205,0.62,0.7,0.62,0.66,0.63,0.61,0.63,0.62,0.6,0.6,0.67,0.59,0.7,0.7,0.7,0.63,0.59,0.67,0.65,0.59,0.66,0.71,0.6,0.59,0.67,0.61,0.65,0.58,0.75,0.68,0.65,0.62,0.7,0.7,0.64,0.59,0.61,0.69,0.64,0.65,0.59,0.68,0.66,0.66,0.64,0.65,0.58,0.63,0.7,0.53,0.87,0.64,0.49,0.62,0.69,0.59,0.65,0.65,0.64,0.62,0.61,0.68,0.71,0.66,0.61,0.65,0.65,0.65,0.63,0.59,0.69,0.62,0.62,0.68,0.69,0.6,0.54,0.63,0.62,0.71,0.65
19236,0.66,0.75,0.65,0.7,0.69,0.63,0.65,0.66,0.63,0.63,0.73,0.62,0.76,0.72,0.71,0.67,0.64,0.72,0.7,0.64,0.7,0.73,0.62,0.59,0.71,0.67,0.7,0.62,0.78,0.67,0.7,0.66,0.74,0.74,0.68,0.61,0.65,0.73,0.64,0.76,0.6,0.7,0.82,0.72,0.68,0.71,0.62,0.66,0.78,0.57,1.06,0.7,0.5,0.66,0.74,0.63,0.7,0.7,0.68,0.7,0.73,0.73,0.8,0.69,0.63,0.67,0.73,0.75,0.67,0.63,0.7,0.68,0.64,0.74,0.74,0.62,0.55,0.69,0.67,0.76,0.69
19266,0.66,0.74,0.66,0.68,0.72,0.63,0.66,0.66,0.65,0.62,0.72,0.61,0.75,0.71,0.74,0.67,0.63,0.72,0.67,0.64,0.69,0.68,0.6,0.62,0.7,0.7,0.7,0.62,0.78,0.79,0.69,0.65,0.74,0.74,0.65,0.62,0.67,0.72,0.68,0.74,0.61,0.68,0.82,0.71,0.67,0.7,0.62,0.66,0.75,0.57,0.98,0.72,0.48,0.65,0.76,0.65,0.72,0.71,0.7,0.67,0.71,0.76,0.79,0.64,0.64,0.66,0.67,0.63,0.56,0.58,0.67,0.66,0.64,0.71,0.74,0.62,0.52,0.68,0.65,0.76,0.69
19297,0.64,0.73,0.63,0.66,0.67,0.61,0.63,0.65,0.6,0.64,0.75,0.62,0.73,0.7,0.7,0.65,0.63,0.72,0.67,0.62,0.68,0.7,0.61,0.6,0.73,0.69,0.7,0.62,0.81,0.78,0.66,0.65,0.73,0.77,0.67,0.6,0.62,0.73,0.64,0.7,0.59,0.69,0.81,0.68,0.65,0.69,0.6,0.63,0.76,0.56,1.01,0.67,0.48,0.65,0.71,0.6,0.67,0.68,0.65,0.68,0.67,0.73,0.73,0.66,0.61,0.65,0.68,0.75,0.63,0.58,0.71,0.68,0.62,0.69,0.71,0.6,0.53,0.7,0.63,0.73,0.68
19327,0.66,0.74,0.63,0.68,0.67,0.61,0.64,0.67,0.61,0.61,0.7,0.58,0.72,0.68,0.73,0.67,0.62,0.68,0.64,0.59,0.64,0.66,0.57,0.59,0.7,0.68,0.67,0.59,0.71,0.68,0.68,0.62,0.68,0.68,0.62,0.59,0.63,0.71,0.64,0.67,0.61,0.66,0.7,0.63,0.62,0.64,0.56,0.61,0.69,0.53,0.81,0.62,0.48,0.64,0.68,0.58,0.65,0.65,0.64,0.6,0.56,0.68,0.69,0.5,0.63,0.65,0.61,0.55,0.58,0.56,0.65,0.59,0.61,0.64,0.68,0.59,0.54,0.65,0.63,0.68,0.67
19358,0.65,0.73,0.62,0.66,0.67,0.61,0.64,0.65,0.61,0.6,0.72,0.58,0.74,0.65,0.7,0.65,0.61,0.68,0.63,0.59,0.63,0.63,0.58,0.58,0.7,0.67,0.68,0.59,0.73,0.68,0.67,0.64,0.7,0.69,0.63,0.59,0.63,0.71,0.63,0.68,0.58,0.66,0.75,0.68,0.63,0.67,0.57,0.62,0.72,0.53,0.82,0.65,0.46,0.64,0.7,0.58,0.66,0.68,0.66,0.62,0.64,0.69,0.73,0.56,0.62,0.64,0.61,0.58,0.58,0.54,0.62,0.6,0.61,0.68,0.7,0.6,0.52,0.66,0.63,0.73,0.67
19389,0.66,0.74,0.63,0.68,0.68,0.62,0.64,0.65,0.62,0.62,0.71,0.61,0.76,0.68,0.71,0.65,0.62,0.71,0.66,0.62,0.66,0.69,0.6,0.61,0.69,0.67,0.69,0.6,0.75,0.73,0.67,0.65,0.71,0.73,0.66,0.59,0.64,0.71,0.64,0.68,0.61,0.67,0.78,0.7,0.67,0.68,0.6,0.64,0.74,0.54,0.97,0.68,0.48,0.62,0.72,0.59,0.7,0.69,0.68,0.67,0.69,0.72,0.76,0.59,0.63,0.64,0.69,0.63,0.66,0.59,0.67,0.59,0.63,0.7,0.72,0.61,0.52,0.67,0.65,0.75,0.68
19417,0.63,0.74,0.62,0.67,0.67,0.61,0.63,0.65,0.6,0.61,0.74,0.59,0.75,0.69,0.69,0.66,0.62,0.72,0.63,0.58,0.63,0.65,0.57,0.59,0.67,0.67,0.67,0.59,0.73,0.71,0.65,0.64,0.68,0.67,0.64,0.59,0.63,0.71,0.63,0.67,0.57,0.65,0.77,0.68,0.65,0.66,0.58,0.64,0.72,0.56,0.92,0.67,0.46,0.63,0.7,0.59,0.67,0.66,0.66,0.63,0.63,0.7,0.71,0.51,0.61,0.63,0.66,0.56,0.52,0.62,0.64,0.59,0.62,0.7,0.7,0.6,0.53,0.68,0.65,0.75,0.66
19448,0.69,0.81,0.65,0.69,0.69,0.64,0.68,0.66,0.63,0.66,0.73,0.64,0.78,0.7,0.71,0.71,0.66,0.75,0.73,0.6,0.72,0.78,0.62,0.61,0.74,0.73,0.74,0.6,0.86,0.81,0.71,0.68,0.75,0.8,0.72,0.63,0.68,0.77,0.72,0.72,0.59,0.71,0.85,0.74,0.69,0.71,0.65,0.69,0.8,0.6,1.06,0.69,0.48,0.68,0.68,0.64,0.73,0.71,0.68,0.71,0.73,0.73,0.78,0.67,0.63,0.64,0.76,0.73,0.71,0.65,0.69,0.69,0.66,0.76,0.76,0.64,0.55,0.7,0.67,0.78,0.72
19478,0.55,0.59,0.53,0.56,0.55,0.56,0.56,0.54,0.5,0.54,0.61,0.51,0.65,0.62,0.64,0.57,0.55,0.62,0.55,0.5,0.55,0.6,0.5,0.53,0.6,0.59,0.57,0.5,0.62,0.56,0.56,0.56,0.58,0.57,0.53,0.52,0.54,0.61,0.54,0.54,0.51,0.55,0.6,0.57,0.58,0.57,0.48,0.55,0.64,0.5,0.72,0.53,0.43,0.53,0.6,0.5,0.63,0.62,0.58,0.53,0.55,0.62,0.59,0.38,0.54,0.55,0.58,0.4,0.47,0.52,0.54,0.48,0.55,0.6,0.59,0.55,0.49,0.56,0.54,0.69,0.55
19509,0.5,0.54,0.48,0.51,0.49,0.5,0.49,0.47,0.46,0.48,0.54,0.46,0.58,0.58,0.58,0.5,0.48,0.55,0.48,0.45,0.5,0.5,0.45,0.48,0.53,0.53,0.49,0.43,0.56,0.49,0.52,0.5,0.53,0.5,0.48,0.48,0.49,0.55,0.49,0.47,0.47,0.49,0.47,0.5,0.51,0.5,0.43,0.5,0.55,0.42,0.56,0.47,0.39,0.48,0.53,0.45,0.59,0.56,0.52,0.43,0.46,0.54,0.51,0.27,0.49,0.5,0.52,0.34,0.37,0.45,0.5,0.42,0.5,0.54,0.52,0.49,0.46,0.5,0.5,0.66,0.49
19539,0.53,0.57,0.51,0.52,0.51,0.54,0.51,0.49,0.47,0.5,0.56,0.47,0.6,0.61,0.59,0.5,0.49,0.58,0.5,0.46,0.52,0.54,0.46,0.48,0.55,0.56,0.51,0.45,0.58,0.51,0.54,0.51,0.55,0.53,0.5,0.49,0.51,0.59,0.51,0.49,0.48,0.51,0.47,0.52,0.53,0.52,0.43,0.49,0.56,0.43,0.6,0.48,0.4,0.5,0.54,0.47,0.56,0.57,0.54,0.43,0.47,0.55,0.52,0.32,0.5,0.51,0.5,0.38,0.43,0.46,0.52,0.43,0.5,0.55,0.53,0.49,0.47,0.51,0.5,0.68,0.52
19570,0.62,0.72,0.61,0.62,0.64,0.63,0.61,0.59,0.58,0.58,0.67,0.57,0.72,0.69,0.65,0.62,0.59,0.67,0.63,0.56,0.65,0.7,0.58,0.57,0.65,0.65,0.64,0.56,0.78,0.68,0.64,0.6,0.68,0.68,0.62,0.57,0.61,0.68,0.63,0.63,0.54,0.66,0.7,0.66,0.62,0.63,0.55,0.6,0.7,0.53,0.84,0.64,0.44,0.6,0.66,0.58,0.64,0.66,0.63,0.61,0.6,0.67,0.67,0.55,0.58,0.6,0.64,0.6,0.62,0.59,0.68,0.63,0.58,0.69,0.66,0.57,0.51,0.62,0.6,0.77,0.65
19601,0.67,0.77,0.65,0.68,0.7,0.64,0.65,0.64,0.62,0.64,0.76,0.6,0.81,0.76,0.71,0.66,0.66,0.74,0.71,0.62,0.69,0.75,0.61,0.59,0.7,0.71,0.71,0.61,0.78,0.73,0.69,0.67,0.74,0.75,0.67,0.62,0.64,0.73,0.64,0.73,0.57,0.7,0.83,0.72,0.69,0.7,0.61,0.66,0.79,0.59,1.04,0.71,0.45,0.66,0.74,0.63,0.69,0.74,0.67,0.7,0.72,0.73,0.77,0.62,0.62,0.65,0.74,0.72,0.73,0.63,0.7,0.68,0.64,0.75,0.73,0.61,0.53,0.69,0.66,0.83,0.7
19631,0.65,0.73,0.64,0.66,0.68,0.63,0.63,0.63,0.6,0.62,0.73,0.57,0.76,0.73,0.7,0.66,0.64,0.71,0.66,0.6,0.65,0.69,0.58,0.6,0.7,0.69,0.69,0.6,0.77,0.69,0.67,0.64,0.72,0.71,0.64,0.61,0.64,0.71,0.66,0.71,0.57,0.66,0.78,0.7,0.67,0.68,0.58,0.64,0.75,0.56,0.96,0.68,0.46,0.64,0.71,0.61,0.68,0.71,0.66,0.65,0.68,0.71,0.74,0.56,0.61,0.64,0.66,0.61,0.62,0.58,0.66,0.65,0.64,0.72,0.71,0.6,0.52,0.67,0.63,0.79,0.67
19662,0.65,0.75,0.64,0.66,0.67,0.62,0.63,0.63,0.61,0.64,0.75,0.62,0.78,0.72,0.69,0.66,0.65,0.72,0.73,0.62,0.69,0.7,0.61,0.6,0.71,0.69,0.68,0.61,0.81,0.76,0.66,0.65,0.73,0.75,0.66,0.6,0.64,0.71,0.63,0.7,0.56,0.68,0.8,0.67,0.65,0.67,0.58,0.63,0.76,0.57,1.05,0.67,0.45,0.66,0.72,0.63,0.67,0.7,0.66,0.66,0.66,0.7,0.72,0.61,0.61,0.65,0.74,0.77,0.74,0.66,0.7,0.72,0.61,0.71,0.69,0.59,0.53,0.7,0.63,0.77,0.7
19692,0.62,0.72,0.62,0.65,0.65,0.61,0.63,0.63,0.58,0.61,0.72,0.58,0.75,0.7,0.68,0.65,0.63,0.68,0.62,0.58,0.61,0.66,0.56,0.58,0.69,0.68,0.66,0.57,0.73,0.63,0.64,0.63,0.68,0.68,0.62,0.6,0.61,0.7,0.63,0.67,0.58,0.64,0.7,0.66,0.63,0.66,0.56,0.61,0.7,0.54,0.82,0.66,0.44,0.63,0.72,0.6,0.66,0.7,0.66,0.62,0.6,0.65,0.69,0.51,0.6,0.64,0.61,0.54,0.55,0.57,0.62,0.59,0.61,0.67,0.68,0.59,0.52,0.64,0.63,0.75,0.65
19723,0.65,0.73,0.61,0.67,0.67,0.61,0.64,0.62,0.61,0.61,0.73,0.59,0.78,0.68,0.69,0.65,0.63,0.71,0.66,0.6,0.64,0.65,0.57,0.59,0.7,0.68,0.66,0.59,0.74,0.68,0.67,0.66,0.7,0.71,0.63,0.6,0.62,0.7,0.63,0.67,0.56,0.66,0.74,0.68,0.64,0.67,0.57,0.62,0.73,0.56,0.87,0.68,0.45,0.63,0.72,0.62,0.7,0.73,0.71,0.63,0.67,0.71,0.73,0.56,0.61,0.64,0.64,0.6,0.69,0.6,0.65,0.65,0.61,0.71,0.7,0.59,0.51,0.67,0.62,0.78,0.67
19754,0.6,0.7,0.59,0.64,0.64,0.58,0.61,0.6,0.56,0.58,0.7,0.56,0.76,0.68,0.67,0.62,0.61,0.82,0.63,0.57,0.62,0.67,0.56,0.57,0.67,0.65,0.65,0.57,0.71,0.64,0.63,0.64,0.68,0.67,0.62,0.57,0.6,0.68,0.61,0.65,0.56,0.63,0.77,0.68,0.64,0.65,0.55,0.61,0.72,0.54,0.94,0.65,0.44,0.6,0.68,0.6,0.66,0.67,0.65,0.64,0.67,0.69,0.72,0.53,0.58,0.61,0.68,0.59,0.55,0.57,0.64,0.61,0.59,0.68,0.67,0.57,0.5,0.66,0.61,0.76,0.63
19783,0.64,0.76,0.62,0.69,0.7,0.61,0.65,0.64,0.61,0.63,0.74,0.6,0.81,0.75,0.72,0.67,0.65,0.74,0.66,0.61,0.67,0.7,0.6,0.61,0.7,0.69,0.69,0.62,0.76,0.75,0.66,0.67,0.71,0.68,0.65,0.61,0.66,0.72,0.65,0.7,0.56,0.68,0.8,0.71,0.67,0.7,0.59,0.67,0.77,0.58,0.97,0.71,0.48,0.65,0.74,0.65,0.7,0.74,0.68,0.67,0.69,0.74,0.76,0.51,0.61,0.65,0.68,0.56,0.57,0.61,0.68,0.66,0.63,0.75,0.66,0.6,0.53,0.69,0.66,0.8,0.69
19814,0.67,0.78,0.63,0.66,0.69,0.62,0.67,0.65,0.62,0.64,0.77,0.62,0.79,0.73,0.71,0.69,0.69,0.76,0.71,0.6,0.68,0.77,0.63,0.61,0.75,0.72,0.72,0.6,0.87,0.77,0.68,0.68,0.75,0.75,0.7,0.62,0.67,0.76,0.69,0.71,0.57,0.69,0.84,0.73,0.68,0.69,0.63,0.68,0.81,0.59,1.07,0.69,0.48,0.67,0.68,0.65,0.71,0.72,0.67,0.71,0.75,0.72,0.8,0.63,0.62,0.64,0.72,0.71,0.73,0.64,0.68,0.7,0.65,0.76,0.72,0.61,0.55,0.7,0.67,0.8,0.72
